company,url
3m,https://www.3m.com/
paccar,https://www.paccar.com/
penske,https://www.pensketruckrental.com/
whirlpool,https://www.whirlpool.com/
henry-schein,https://www.henryschein.com/
a-mark-precious-metals,https://www.amark.com/
abbott-laboratories,https://www.abbott.com/
abbvie,https://www.abbvie.com/
abm-industries,https://www.abm.com/
adobe,https://www.adobe.com/
adp,https://www.adp.com/
advance-auto-parts,https://shop.advanceautoparts.com/
advanced-micro-devices,https://www.amd.com/en
aecom,https://www.aecom.com/
aes,https://www.aessuccess.org/
aflac,https://www.aflac.com/
agco,https://www.agcocorp.com/
aig,https://www.aig.com/
air-products-chemicals,http://www.airproducts.com/
ak-steel-holding,https://www.aksteel.com/
alaska-air-group,https://www.alaskaair.com/content/group-travel/groups-travel-overview
albertsons,https://www.albertsons.com/
alcoa,https://www.alcoa.com/
alleghany,https://www.alleghany.com/Home/default.aspx
alliance-data-systems,https://www.alliancedata.com/home/default.aspx
allstate,https://www.allstate.com/
ally-financial,https://www.ally.com/auto/
alphabet,http://abc.xyz/
altria-group,http://www.altria.com/Pages/default.aspx
amazon-com,https://www.amazon.com/
ameren,https://www.ameren.com/
american-airlines-group,https://www.aa.com/homePage.do
american-axle-manufacturing,https://www.aam.com/
american-electric-power,https://www.aep.com/
american-express,https://www.americanexpress.com/
american-family-insurance-group,https://www.amfam.com/
american-financial-group,https://www.afginc.com/
american-tower,https://www.americantower.com/
ameriprise-financial,https://www.ameriprise.com/
amerisource-bergen,https://www.amerisourcebergen.com/
amgen,https://www.amgen.com/
amphenol,https://www.amphenol.com/
anadarko-petroleum,http://www.oxy.com/Pages/default.aspx
analog-devices,https://www.analog.com/en/index.html
anixter-international,https://www.anixter.com/en_us.html
anthem,https://www.anthem.com/
apache,https://www.apache.org/
apple,https://www.apple.com/
aramark,https://www.aramark.com/
archer-daniels-midland,https://www.adm.com/
arconic,https://www.arconic.com/
arthur-j-gallagher,https://www.ajg.com/
asbury-automotive-group,https://www.asburyauto.com/
ascena-retail-group,https://www.ascenaretail.com/
assurant,https://www.assurant.com/
att,https://www.att.com/
auto-owners-insurance,https://www.auto-owners.com/
autoliv,https://www.autoliv.com/
autonation,https://www.autonation.com/
autozone,https://www.autozone.com/
avery-dennison,https://www.averydennison.com/
avis-budget-group,https://avisbudgetgroup.com/
avnet,https://www.avnet.com/wps/portal/us/
ball,https://www.ball.com/Home
bank-of-america,https://www.bankofamerica.com/
bank-of-new-york-mellon,https://www.bnymellon.com/
baxter-international,https://www.baxter.com/
bbt-corp,https://www.bbt.com/
beacon-roofing-supply,https://www.becn.com/
becton-dickinson,https://www.bd.com/en-us
bed-bath-beyond,https://www.bedbathandbeyond.com/
berkshire-hathaway,https://www.berkshirehathaway.com/
berry-global-group,https://www.berryglobal.com/
best-buy,https://www.bestbuy.com/
biogen,https://www.biogen.com/en_us/home.html
bjs-wholesale-club,https://www.bjs.com/
blackrock,https://www.blackrock.com/
blackstone-group,https://www.blackstone.com/
boeing,https://www.boeing.com/
booking-holdings,https://www.bookingholdings.com/
booz-allen-hamilton,https://www.boozallen.com/
borgwarner,https://www.borgwarner.com/home
boston-scientific,https://www.bostonscientific.com/content/gwc/en-US/Home.html
brighthouse-financial,https://www.brighthousefinancial.com/
bristol-myers-squibb,https://www.bms.com/
broadcom,https://www.broadcom.com/
builders-firstsource,https://www.bldr.com/
burlington-stores,https://www.burlington.com/
c-h-robinson-worldwide,https://www.chrobinson.com/
caesars-entertainment,https://www.caesars.com/
calpine,http://www.calpine.com/
campbell-soup,https://www.campbells.com/campbell-soup/
capital-one-financial,https://www.capitalone.com/
cardinal-health,https://www.cardinalhealth.com/en.html
carmax,https://www.carmax.com/
caseys-general-stores,https://www.caseys.com/
caterpillar,https://www.caterpillar.com/
cbre-group,https://www.cbre.us/
cdw,https://www.cdw.com/
celanese,https://www.celanese.com/
celgene,https://www.celgene.com/
centene,https://www.centene.com/
centerpoint-energy,https://www.centerpointenergy.com/en-us/pages/selfid.aspx
centurylink,https://www.centurylink.com/
charles-schwab,https://www.schwab.com/
charter-communications,https://www.spectrum.com/
chemours,https://www.chemours.com/
cheniere-energy,https://www.cheniere.com/
chesapeake-energy,http://www.chk.com/
chevron,https://www.chevron.com/
chs,https://www.chsinc.com/
cigna,https://www.cigna.com/
cintas,https://www.cintas.com/
cisco-systems,https://www.cisco.com/
citigroup,https://www.citigroup.com/citi/
citizens-financial-group,https://www.citizensbank.com/HomePage.aspx
clorox,https://www.clorox.com/
cms-energy,https://www.cmsenergy.com/home/default.aspx
coca-cola,https://www.coca-cola.com/
cognizant-technology-solutions,https://www.cognizant.com/
colgate-palmolive,https://www.colgatepalmolive.com/en-us
comcast,https://www.xfinity.com/
community-health-systems,http://www.chs.net/
conagra-brands,https://www.conagrabrands.com/
conocophillips,http://www.conocophillips.com/
consolidated-edison,https://coned.com/
constellation-brands,https://www.cbrands.com/
core-mark-holding,https://www.core-mark.com/
corning,https://www.corning.com/worldwide/en.html
costco-wholesale,https://www.costco.com/
coty,https://www.coty.com/
crown-holdings,https://www.crowncork.com/
csx,https://www.csx.com/
cummins,https://www.cummins.com/
cvs-health,https://cvshealth.com/
d-r-horton,https://www.drhorton.com/
dana,http://www.dana.com/
danaher,http://www.danaher.com/
darden-restaurants,https://www.darden.com/
davita,https://www.davita.com/
dcp-midstream,https://www.dcpmidstream.com/
dean-foods,http://www.deanfoods.com/
deere,https://www.deere.com/en/index.html
delek-us-holdings,https://www.delekus.com/
delta-air-lines,https://www.delta.com/
devon-energy,https://www.devonenergy.com/
dicks-sporting-goods,https://www.dickssportinggoods.com/
dillards,https://www.dillards.com/
discover-financial-services,https://www.discover.com/
dish-network,https://www.dish.com/
dollar-genera,https://www.dollargeneral.com/
dollar-tree,https://www.dollartree.com/
dominion-energy,https://www.dominionenergy.com/
dover,https://www.doversaddlery.com/
dowdupont,https://www.dupont.com/
dte-energy,https://www.dteenergy.com/
duke-energy,https://www.duke-energy.com/home
dxc-technology,https://www.dxc.technology/
eastman-chemical,https://www.eastman.com/Pages/Home.aspx
ebay,https://www.ebay.com/
ecolab,https://www.ecolab.com/
edison-international,https://www.edison.com/
edward-jones,https://www.edwardjones.com/
eli-lilly,https://www.lilly.com/
emcor-group,https://emcorgroup.com/
emerson-electric,https://www.emerson.com/en-us
energy-transfer,https://www.energytransfer.com/
enlink-midstream,https://www.enlink.com/
entergy,https://www.entergy.com/
enterprise-products-partners,https://www.enterpriseproducts.com/
eog-resources,https://www.eogresources.com/
erie-insurance-group,https://www.erieinsurance.com/
estee-lauder,https://m.esteelauder.com/
eversource-energy,https://www.eversource.com/
exelon,https://www.exeloncorp.com/
expedia-group,https://www.expediagroup.com/
expeditors-intl-of-washington,https://www.expeditors.com/
exxon-mobil,https://corporate.exxonmobil.com/
facebook,https://www.facebook.com/
fannie-mae,https://www.fanniemae.com/
farmers-insurance-exchange,https://www.farmers.com/companies/exchange-update/
fedex,https://www.fedex.com/en-us/home.html
fidelity-national-financial,https://www.fnf.com/
fidelity-national-information-services,http://www.fisglobal.com/
fifth-third-bancorp,https://ir.53.com/
first-american-financial,http://www.firstam.com/index.html
first-data,https://www.firstdata.com/
firstenergy,https://www.firstenergycorp.com/
fiserv,https://www.fiserv.com/
fluor,https://www.fluor.com/
foot-locker,https://www.footlocker.com/
ford-motor,https://www.ford.com/
fortive,https://www.fortive.com/
franklin-resources,https://www.franklinresources.com/
freddie-mac,http://www.freddiemac.com/
freeport-mcmoran,https://www.fcx.com/
frontier-communications,https://frontier.com/
gap,https://www.gap.com/
general-dynamics,https://www.gd.com/
general-electric,https://www.ge.com/
general-mills,https://www.generalmills.com/
general-motors,https://www.gm.com/
genuine-parts,https://www.genpt.com/
genworth-financial,https://www.genworth.com/
gilead-sciences,https://www.gilead.com/
global-partners,http://www.globalp.com/
goldman-sachs-group,http://www.goldmansachs.com/
goodyear-tire-rubber,https://corporate.goodyear.com/en-US/
graphic-packaging-international,https://www.graphicpkg.com/
graybar-electric,https://www.graybar.com/store/en/gb
group-1-automotive,https://www.group1auto.com/
guardian-life-ins-co-of-america,https://www.guardianlife.com/
halliburton,https://www.halliburton.com/
hanesbrands,https://www.hanes.com/corporate
harley-davidson,https://www.harley-davidson.com/
harris-corporation,https://www.harris.com/
hartford-financial-services,https://www.thehartford.com/
hca-healthcare,https://hcahealthcare.com/
hd-supply-holdings,https://hdsupply.com/
hershey,https://www.hersheys.com/en_us/home.html
hertz-global-holdings,http://ir.hertz.com/
hess-corporation,https://www.hess.com/
hewlett-packard-enterprise,https://www.hpe.com/us/en/home.html
hilton-worldwide-holdings,https://www.hilton.com/en/corporate/
hollyfrontier,https://www.hollyfrontier.com/home/default.aspx
home-depot,https://www.homedepot.com/
honeywell-international,https://www.honeywell.com/
hormel-foods,https://www.hormelfoods.com/
humana,https://www.humana.com/
huntington-ingalls-industries,https://www.huntingtoningalls.com/
huntsman,https://www.huntsman.com/
icahn-enterprises,https://www.ielp.com/home
iheartmedia,https://www.iheartmedia.com/
illinois-tool-works,https://www.itw.com/
ingredion,https://www.ingredion.com/
insight-enterprises,https://www.insight.com/en_US/home.html
intercontinental-exchange,https://intercontinentalexchange.com/
international-paper,http://www.internationalpaper.com/
intl-fcstone,https://www.intlfcstone.com/
intuit,https://www.intuit.com/
iqvia-holdings,http://www.iqvia.com/
j-b-hunt-transport-services,https://www.jbhunt.com/
j-c-penney,https://www.jcpenney.com/
j-m-smucker,https://www.jmsmucker.com/
jabil,https://www.jabil.com/
jacobs-engineering-group,https://www.jacobs.com/
jefferies-financial-group,http://www.jefferies.com/
jetblue-airways,https://www.jetblue.com/
johnson-johnson,https://www.jnj.com/
jones-lang-lasalle,https://www.us.jll.com/
jpmorgan-chase,https://www.jpmorgan.com/
kellogg,https://www.kelloggs.com/en_US/home.html
keurig-dr-pepper,https://www.keurigdrpepper.com/
keycorp,https://www.key.com/about/index.jsp
kimberly-clark,https://www.kimberly-clark.com/
kinder-morgan,https://www.kindermorgan.com/
kohls,https://www.kohls.com/
kraft-heinz,https://www.kraftheinzcompany.com/
kroger,https://www.kroger.com/
l-brands,https://www.lb.com/
l3-technologies,https://www.l3t.com/
laboratory-corp-of-america,https://www.labcorp.com/
lam-research,https://www.lamresearch.com/
land-olakes,https://www.landolakesinc.com/
las-vegas-sands,https://www.sands.com/
lear,https://www.lear.com/
leidos-holdings,https://www.leidos.com/
lennar,https://www.lennar.com/
levi-strauss,https://www.levistrauss.com/
liberty-mutual-insurance-group,https://www.libertymutual.com/
lincoln-national,https://www.lfg.com/public/individual
lithia-motors,https://www.lithia.com/
lkq,https://www.lkqcorp.com/
lockheed-martin,https://www.lockheedmartin.com/en-us/index.html
loews,https://www.loewshotels.com/
lowes,https://www.lowes.com/
macys,https://www.macys.com/
magellan-health,https://www.magellanhealth.com/
manpowergroup,https://www.manpowergroup.com/
marathon-oil,https://www.marathonoil.com/
marathon-petroleum,https://www.marathonpetroleum.com/
markel,https://www.markelinsurance.com/
marriott-international,https://www.marriott.com/default.mi
marsh-mclennan,https://www.mmc.com/
masco,http://masco.com/
massachusetts-mutual-life-insurance,https://www.massmutual.com/
mastec,https://www.mastec.com/
mastercard,https://www.mastercard.us/en-us.html
mcdonalds,https://www.mcdonalds.com/us/en-us.html
mckesson,https://www.mckesson.com/
merck,https://www.merck.com/
metlife,https://www.metlife.com/
mgm-resorts-international,https://www.mgmresorts.com/en.html
micron-technology,https://www.micron.com/
mohawk-industries,https://mohawkind.com/
molina-healthcare,https://www.molinahealthcare.com/
molson-coors-brewing,http://www.molsoncoors.com/
mondelez-international,https://www.mondelezinternational.com/
morgan-stanley,https://www.morganstanley.com/
mosaic,https://mosaicdistrict.com/
motorola-solutions,https://www.motorolasolutions.com/en_us.html
mt-bank-corp,https://www.mtb.com/home-page
murphy-usa,https://www.murphyusa.com/
mutual-of-omaha-insurance,https://www.mutualofomaha.com/
national-oilwell-varco,https://www.nov.com/
nationwide,https://www.nationwide.com/
navient,https://www.navient.com/
navistar-international,https://www.navistar.com/
ncr-corporation,https://www.ncr.com/
new-york-life-insurance,https://www.newyorklife.com/
newell-brands,https://www.newellbrands.com/
newmont-goldcorp,https://www.newmontgoldcorp.com/
nextera-energy,http://www.nexteraenergy.com/
ngl-energy-partners,http://www.nglenergypartners.com/
nike,https://www.nike.com/
nordstrom,https://shop.nordstrom.com/
norfolk-southern,http://www.nscorp.com/
northern-trust,https://www.northerntrust.com/united-states/home
northrop-grumman,https://www.northropgrumman.com/
northwestern-mutual,https://www.northwesternmutual.com/
nrg-energy,https://www.nrg.com/
nucor,http://nucor.com/
nvr-inc,http://www.nvrinc.com/
occidental-petroleum,http://www.oxy.com/Pages/default.aspx
office-depot,https://www.officedepot.com/
old-republic-international,http://www.oldrepublic.com/
olin-corporation,https://www.olin.com/
omnicom-group,https://www.omnicomgroup.com/
on-semiconductor,https://www.onsemi.com/
oneok,https://www.oneok.com/
oracle,https://www.oracle.com/index.html
oreilly-automotive,https://www.oreillyauto.com/
oshkosh,https://www.oshkosh.com/
owens-corning,https://www.owenscorning.com/
owens-illinois,https://www.o-i.com/
owens-minor,https://www.owens-minor.com/
pacific-life,https://www.pacificlife.com/
packaging-corp-of-america,https://www.packagingcorp.com/
parker-hannifin,https://www.parker.com/
paypal-holdings,https://www.paypal.com/us/home
pbf-energy,https://www.pbfenergy.com/
peabody-energy,https://www.peabodyenergy.com/
pepsico,https://www.pepsico.com/
performance-food-group,http://www.pfgc.com/
peter-kiewit-sons,https://www.kiewit.com/
pfizer,https://www.pfizer.com/
pge,https://www.pge.com/
philip-morris-international,https://www.pmi.com/
phillips-66,https://www.phillips66.com/
pioneer-natural-resources,https://www.pxd.com/
plains-gp-holdings,https://www.plainsallamerican.com/
pnc-financial-services,https://www.pnc.com/en/about-pnc.html
polaris-industries,https://www.polaris.com/en-us/
post-holdings,https://www.postholdings.com/
ppg-industries,https://www.ppg.com/
ppl,https://www.pplelectric.com/
principal-financial,https://www.principal.com/
procter-gamble,https://us.pg.com/
progressive,https://www.progressive.com/
prudential-financial,http://www.prudential.com/
public-service-enterprise-group,https://www.pseg.com/
publix-super-markets,https://www.publix.com/
pultegroup,http://www.pultegroupinc.com/home/default.aspx
pvh,https://www.pvh.com/
qualcomm,https://www.qualcomm.com/
quanta-services,https://www.quantaservices.com/
quest-diagnostics,https://www.questdiagnostics.com/
qurate-retail,https://www.qurateretailgroup.com/
r-r-donnelley-sons,https://www.rrd.com/
ralph-lauren-corporation,https://corporate.ralphlauren.com/
raymond-james-financial-inc,https://www.raymondjames.com/
raytheon,https://www.raytheon.com/
realogy-holdings,https://www.realogy.com/
regeneron-pharmaceuticals,https://www.regeneron.com/
regions-financial,https://ir.regions.com/
reinsurance-group-of-america,https://rgare.com/
reliance-steel-aluminum,https://www.rsac.com/
republic-services,https://www.republicservices.com/
rite-aid,https://www.riteaid.com/
robert-half-international,https://www.roberthalf.com/
rockwell-automation,https://www.rockwellautomation.com/
rockwell-collins,https://www.rockwellcollins.com/
ross-stores,https://www.rossstores.com/
ryder-system,https://ryder.com/
salesforce-com,https://www.salesforce.com/
sanmina-corporation,https://www.sanmina.com/
seaboard,https://roli.com/products/seaboard
sempra-energy,https://www.sempra.com/
sherwin-williams,https://www.sherwin-williams.com/
simon-property-group,https://www.simon.com/
sonic-automotive,https://www.sonicautomotive.com/
southern,http://www.subr.edu/
southwest-airlines,https://www.southwest.com/
sp-global,https://www.spglobal.com/en/
spartannash,https://www.spartannash.com/
spirit-aerosystems-holdings,https://www.spiritaero.com/
stanley-black-decker,https://www.stanleyblackanddecker.com/
starbucks,https://www.starbucks.com/
state-farm-insurance,https://www.statefarm.com/
state-street-corp,http://www.statestreet.com/home.html
steel-dynamics,https://www.steeldynamics.com/
stryker,https://www.stryker.com/
suntrust-banks,https://www.suntrust.com/
supervalu,https://www.supervalu.com/
synchrony-financial,https://www.mysynchrony.com/
synnex,https://www.synnexcorp.com/
sysco,https://www.sysco.com/
tapestry,https://www.tapestry.com/
targa-resources,https://www.targaresources.com/
target,https://www.target.com/
tenet-healthcare,https://www.tenethealth.com/
tenneco,https://www.tenneco.com/
tesla,https://www.tesla.com/
textron,https://www.textron.com/
thermo-fisher-scientific,https://www.thermofisher.com/us/en/home.html
thor-industries,https://www.thorindustries.com/
thrivent-financial-for-lutherans,https://www.thrivent.com/
tiaa,https://tiaa.org/
tjx,https://www.tjx.com/
toll-brothers,https://www.tollbrothers.com/
tractor-supply,https://www.tractorsupply.com/
travelcenters-of-america,https://www.ta-petro.com/
travelers,https://www.travelers.com/
treehouse-foods,https://www.treehousefoods.com/home/default.aspx
tyson-foods,https://www.tysonfoods.com/
u-s-bancorp,https://www.mg21.com/usb.html
ugi-corporation,https://www.ugicorp.com/home/default.aspx
ulta-beauty,https://www.ulta.com/
union-pacific-paper,https://www.up.com/customers/ind-prod/paper/index.htm
united-continental-holdings,https://www.united.com/
united-natural-foods,https://www.unfi.com/
united-parcel-service,https://www.ups.com/us/en/Home.page
united-rentals,https://www.unitedrentals.com/
united-states-steel,https://www.ussteel.com/
united-technologies,https://www.utc.com/
unitedhealth-group,https://www.unitedhealthgroup.com/
univar,https://www.univarsolutions.com/
universal-health-services,https://www.uhsinc.com/
unum-group,https://www.unum.com/
us-foods-holding,https://www.usfoods.com/
usaa,https://www.usaa.com/
valero-energy,https://www.valero.com/en-us
veritiv,https://www.veritivcorp.com/
verizon-communications,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx
vf,https://www.vfc.com/brands
visa,https://usa.visa.com/
vistra-energ,https://www.vistraenergy.com/
voya-financial,https://www.voya.com/
w-r-berkley,https://www.berkley.com/
w-w-grainger,https://www.grainger.com/
walgreens-boots-alliance,https://www.walgreensbootsalliance.com/
walmart,https://www.walmart.com/
waste-management,https://www.wm.com/us/en/myhome
wayfair,https://www.wayfair.com/
wec-energy-group,https://www.wecenergygroup.com/
wellcare-health-plans,https://www.wellcare.com/
wells-fargo,https://www.wellsfargo.com/
wesco-international,https://www.wesco.com/
western-southern-financial-group,https://www.westernsouthern.com/
western-union,https://www.westernunion.com/us/en/home.html
westlake-chemical,https://www.westlake.com/
westrock,https://www.westrock.com/
weyerhaeuser,https://www.weyerhaeuser.com/
williams,https://www.williams.edu/
williams-sonoma,https://www.williams-sonoma.com/
windstream-holdings,https://investor.windstream.com/home/default.aspx
world-fuel-services,https://www.wfscorp.com/en
wynn-resorts,https://www.wynnresorts.com/
xcel-energy,https://www.xcelenergy.com/
xerox,https://www.xerox.com/
xpo-logistics,https://www.xpo.com/
yum-brands,https://www.yum.com/
yum-china-holdings,https://yumchinaholdingsinc.gcs-web.com/
zimmer-biomet-holdings,http://www.zimmerbiomet.com/
zoetis,https://www.zoetis.com/
texas-instruments,http://www.ti.com/
