last_name,first_name,middle_name,full_name,type,party
Inouye,Daniel,K.,Daniel K. Inouye,sen,Democrat
Akaka,Daniel,Kahikina,Daniel K. Akaka,sen,Democrat
Bingaman,Jeff,,Jeff Bingaman,sen,Democrat
Conrad,Kent,Kent,Kent Conrad,sen,Democrat
Hutchison,Kay,Bailey,Kay Bailey Hutchison,sen,Republican
Kohl,Herbert,H.,Herb Kohl,sen,Democrat
Lieberman,Joseph,I.,Joseph I. Lieberman,sen,Independent
Lugar,Richard,G.,Richard G. Lugar,sen,Republican
Nelson,Ben,E.,Ben Nelson,sen,Democrat
Snowe,Olympia,J.,Olympia J. Snowe,sen,Republican
Webb,Jim,,Jim Webb,sen,Democrat
Brown,Scott,,Scott P. Brown,sen,Republican
DeMint,Jim,W.,Jim DeMint,sen,Republican
Kerry,John,Forbes,John F. Kerry,sen,Democrat
Lautenberg,Frank,R.,Frank R. Lautenberg,sen,Democrat
Cowan,William,,William M. Cowan,sen,Democrat
Chiesa,Jeffrey,Scott,Jeff Chiesa,sen,Republican
Baucus,Max,S.,Max Baucus,sen,Democrat
Begich,Mark,,Mark Begich,sen,Democrat
Chambliss,Saxby,,Saxby Chambliss,sen,Republican
Hagan,Kay,,Kay R. Hagan,sen,Democrat
Harkin,Thomas,,Tom Harkin,sen,Democrat
Johnson,Tim,P.,Tim Johnson,sen,Democrat
Landrieu,Mary,L.,Mary L. Landrieu,sen,Democrat
Levin,Carl,,Carl Levin,sen,Democrat
Pryor,Mark,,Mark L. Pryor,sen,Democrat
Rockefeller,John,D.,"John D. Rockefeller, IV",sen,Democrat
Udall,Mark,E.,Mark Udall,sen,Democrat
Coburn,Thomas,A.,Tom Coburn,sen,Republican
Walsh,John,E.,John E. Walsh,sen,Democrat
Johanns,Mike,,Mike Johanns,sen,Republican
Ayotte,Kelly,,Kelly Ayotte,sen,Republican
Boxer,Barbara,,Barbara Boxer,sen,Democrat
Coats,Daniel,Ray,Daniel Coats,sen,Republican
Kirk,Mark,Steven,Mark Kirk,sen,Republican
Mikulski,Barbara,A.,Barbara A. Mikulski,sen,Democrat
Reid,Harry,M.,Harry Reid,sen,Democrat
Vitter,David,,David Vitter,sen,Republican
Sessions,Jefferson,B.,Jeff Sessions,sen,Republican
Franken,Alan,Stuart,Al Franken,sen,Democrat
Strange,Luther,,Luther Strange,sen,Republican
Cochran,Thad,,Thad Cochran,sen,Republican
McCain,John,S.,John McCain,sen,Republican
Kyl,Jon,,Jon Kyl,sen,Republican
Corker,Bob,,Bob Corker,sen,Republican
Hatch,Orrin,G.,Orrin G. Hatch,sen,Republican
McCaskill,Claire,,Claire McCaskill,sen,Democrat
Nelson,Bill,,Bill Nelson,sen,Democrat
Donnelly,Joe,,Joe Donnelly,sen,Democrat
Flake,Jeff,,Jeff Flake,sen,Republican
Heller,Dean,,Dean Heller,sen,Republican
Heitkamp,Heidi,,Heidi Heitkamp,sen,Democrat
Isakson,John,H.,Johnny Isakson,sen,Republican
McSally,Martha,,Martha McSally,sen,Republican
Alexander,Lamar,,Lamar Alexander,sen,Republican
Enzi,Michael,B.,Michael B. Enzi,sen,Republican
Roberts,Pat,,Pat Roberts,sen,Republican
Udall,Tom,S.,Tom Udall,sen,Democrat
Gardner,Cory,,Cory Gardner,sen,Republican
Perdue,David,,David Perdue,sen,Republican
Jones,Doug,,Doug Jones,sen,Democrat
Harris,Kamala,,Kamala D. Harris,sen,Democrat
Loeffler,Kelly,,Kelly Loeffler,sen,Republican
Brown,Sherrod,,Sherrod Brown,sen,Democrat
Cantwell,Maria,,Maria Cantwell,sen,Democrat
Cardin,Benjamin,L.,Benjamin L. Cardin,sen,Democrat
Carper,Thomas,Richard,Thomas R. Carper,sen,Democrat
Casey,Robert,P.,"Robert P. Casey, Jr.",sen,Democrat
Feinstein,Dianne,,Dianne Feinstein,sen,Democrat
Klobuchar,Amy,Jean,Amy Klobuchar,sen,Democrat
Menendez,Robert,,Robert Menendez,sen,Democrat
Sanders,Bernard,,Bernard Sanders,sen,Independent
Stabenow,Debbie,Ann,Debbie Stabenow,sen,Democrat
Tester,Jon,,Jon Tester,sen,Democrat
Whitehouse,Sheldon,,Sheldon Whitehouse,sen,Democrat
Barrasso,John,A.,John Barrasso,sen,Republican
Wicker,Roger,F.,Roger F. Wicker,sen,Republican
Collins,Susan,M.,Susan M. Collins,sen,Republican
Cornyn,John,,John Cornyn,sen,Republican
Durbin,Richard,J.,Richard J. Durbin,sen,Democrat
Graham,Lindsey,O.,Lindsey Graham,sen,Republican
Inhofe,James,M.,James M. Inhofe,sen,Republican
McConnell,Mitch,,Mitch McConnell,sen,Republican
Merkley,Jeff,,Jeff Merkley,sen,Democrat
Reed,John,F.,Jack Reed,sen,Democrat
Risch,James,E.,James E. Risch,sen,Republican
Shaheen,Jeanne,,Jeanne Shaheen,sen,Democrat
Warner,Mark,R.,Mark R. Warner,sen,Democrat
Gillibrand,Kirsten,E.,Kirsten E. Gillibrand,sen,Democrat
Coons,Christopher,Andrew,Christopher A. Coons,sen,Democrat
Manchin,Joe,,"Joe Manchin, III",sen,Democrat
Baldwin,Tammy,,Tammy Baldwin,sen,Democrat
Bennet,Michael,F.,Michael F. Bennet,sen,Democrat
Blackburn,Marsha,W.,Marsha Blackburn,sen,Republican
Blumenthal,Richard,,Richard Blumenthal,sen,Democrat
Blunt,Roy,,Roy Blunt,sen,Republican
Boozman,John,,John Boozman,sen,Republican
Burr,Richard,M.,Richard Burr,sen,Republican
Capito,Shelley,Moore,Shelley Moore Capito,sen,Republican
Cassidy,Bill,,Bill Cassidy,sen,Republican
Crapo,Michael,D.,Mike Crapo,sen,Republican
Grassley,Charles,E.,Chuck Grassley,sen,Republican
Heinrich,Martin,,Martin Heinrich,sen,Democrat
Hirono,Mazie,K.,Mazie K. Hirono,sen,Democrat
Hoeven,John,,John Hoeven,sen,Republican
Johnson,Ron,,Ron Johnson,sen,Republican
Lankford,James,,James Lankford,sen,Republican
Leahy,Patrick,J.,Patrick J. Leahy,sen,Democrat
Lee,Mike,,Mike Lee,sen,Republican
Luján,Ben,Ray,Ben Ray Luján,sen,Democrat
Markey,Edward,J.,Edward J. Markey,sen,Democrat
Moran,Jerry,,Jerry Moran,sen,Republican
Murkowski,Lisa,A.,Lisa Murkowski,sen,Republican
Murphy,Christopher,S.,Christopher Murphy,sen,Democrat
Murray,Patty,,Patty Murray,sen,Democrat
Paul,Rand,,Rand Paul,sen,Republican
Peters,Gary,C.,Gary C. Peters,sen,Democrat
Portman,Robert,J.,Rob Portman,sen,Republican
Rubio,Marco,,Marco Rubio,sen,Republican
Schumer,Charles,E.,Charles E. Schumer,sen,Democrat
Scott,Tim,,Tim Scott,sen,Republican
Shelby,Richard,C.,Richard C. Shelby,sen,Republican
Thune,John,,John Thune,sen,Republican
Toomey,Patrick,J.,Patrick J. Toomey,sen,Republican
Van Hollen,Chris,,Chris Van Hollen,sen,Democrat
Wyden,Ron,,Ron Wyden,sen,Democrat
Young,Todd,C.,Todd Young,sen,Republican
Schatz,Brian,Emanuel,Brian Schatz,sen,Democrat
Cotton,Tom,,Tom Cotton,sen,Republican
Sinema,Kyrsten,,Kyrsten Sinema,sen,Democrat
Duckworth,Tammy,,Tammy Duckworth,sen,Democrat
Warren,Elizabeth,,Elizabeth Warren,sen,Democrat
King,Angus,S.,"Angus S. King, Jr.",sen,Independent
Daines,Steve,,Steve Daines,sen,Republican
Cramer,Kevin,,Kevin Cramer,sen,Republican
Fischer,Deb,,Deb Fischer,sen,Republican
Cruz,Ted,,Ted Cruz,sen,Republican
Kaine,Timothy,,Tim Kaine,sen,Democrat
Booker,Cory,Anthony,Cory A. Booker,sen,Democrat
Sullivan,Dan,,Dan Sullivan,sen,Republican
Ernst,Joni,,Joni Ernst,sen,Republican
Tillis,Thom,,Thom Tillis,sen,Republican
Rounds,Mike,,Mike Rounds,sen,Republican
Sasse,Benjamin,Eric,Ben Sasse,sen,Republican
Kennedy,John,Neely,John Kennedy,sen,Republican
Hassan,Margaret,Wood,Margaret Wood Hassan,sen,Democrat
Cortez Masto,Catherine,,Catherine Cortez Masto,sen,Democrat
Marshall,Roger,,Roger Marshall,sen,Republican
Rosen,Jacky,,Jacky Rosen,sen,Democrat
Smith,Tina,Flint,Tina Smith,sen,Democrat
Hyde-Smith,Cindy,,Cindy Hyde-Smith,sen,Republican
Scott,Rick,,Rick Scott,sen,Republican
Braun,Mike,,Mike Braun,sen,Republican
Hawley,Joshua,,Josh Hawley,sen,Republican
Romney,Mitt,,Mitt Romney,sen,Republican
Kelly,Mark,,Mark Kelly,sen,Democrat
Lummis,Cynthia,M.,Cynthia M. Lummis,sen,Republican
Tuberville,Tommy,Hawley,Tommy Tuberville,sen,Republican
Hickenlooper,John,Wright,John W. Hickenlooper,sen,Democrat
Hagerty,Bill,Francis,Bill Hagerty,sen,Republican
Padilla,Alejandro,,Alex Padilla,sen,Democrat
Ossoff,Jon,,Jon Ossoff,sen,Democrat
Warnock,Raphael,Gamaliel,Raphael G. Warnock,sen,Democrat
